store_id,total_sales,total_cost,profit,median_profit,store_status,store_name,store_address,Timings,Services,Image_URL,Reviews,Ratings,About,Store_URL,No_of_Products,Store_City,Contact
496,151594,101977,49617,53994,non_profitable,Somajiguda,"6-3-927/A&B, Ground Floor, Shobhan Building, Somajiguda, Raj Bhavan Road, Hyderabad, Telangana, 500082",11:00 AM-09:30 PM,"Eye Test, Repair, Purchase",https://www.lenskart.com/stores/_next/image?url=https%3A%2F%2Fmy-lkstore.lenskart.com%2Fstore_locator_image%2FStore_Static_Image%2FLenskartStoreFrontImageCompressed.png&w=3840&q=75,515,4.7,"Lenskart Somajiguda eyewear store is located at Hyderabad. It is one of the best optical stores in Hyderabad with immense number of Eyeglasses , sunglasses & contact lens options to choose from. The store offers free eye check up to its customers which is performed by certified Optometrist. The free eye test service is available across all stores in India. If you are searching for the best optician near you then Lenskart Somajiguda is the perfect choice for you. The address of this store is 6-3-927/A&B, Ground Floor, Shobhan Building, Somajiguda, Raj Bhavan Road, Hyderabad, Telangana, 500082, Somajiguda, Hyderabad, Telangana - 500082.",https://www.lenskart.com/stores/lenskart-com-somajiguda-somajiguda-hyderabad-21964/Home,1051,Hyderabad,9643821496
1342,149981,93497,56484,53994,profitable,Kohat Enclave Pitampura,"KD 81, Shop No 3 & 4, Pitampura, Near Kohat Enclave Metro Station, Delhi, 110034",11:00 AM-09:30 PM,"Eye Test, Repair, Purchase",https://www.lenskart.com/stores/_next/image?url=https%3A%2F%2Fmy-lkstore.lenskart.com%2Fstore_locator_image%2FStore_Static_Image%2FLenskartStoreFrontImageCompressed.png&w=3840&q=75,640,4.9,"Lenskart Kohat Enclave Pitampura eyewear store is located at Delhi. It is one of the best optical stores in Delhi with immense number of Eyeglasses , sunglasses & contact lens options to choose from. The store offers free eye check up to its customers which is performed by certified Optometrist. The free eye test service is available across all stores in India. If you are searching for the best optician near you then Lenskart Kohat Enclave Pitampura is the perfect choice for you. The address of this store is KD 81, Shop No 3 & 4, Pitampura, Near Kohat Enclave Metro Station, Delhi, 110034, Kohat Enclave Pitampura, Delhi, Delhi - 110034.",https://www.lenskart.com/stores/lenskart-com-kohat-enclave-pitampura-pitampura-delhi-406715/Home,937,Delhi,8929327325
1088,138632,90785,47847,53994,non_profitable,Nanganallur,"38/13, 1St Main Road, Macmillan Colony, Nanganallur, Chennai, Tamil Nadu, 600061",11:00 AM-09:30 PM,"Eye Test, Repair, Purchase",https://www.lenskart.com/stores/_next/image?url=https%3A%2F%2Fmy-lkstore.lenskart.com%2Fstore_locator_image%2FStore_Static_Image%2FLenskartStoreFrontImageCompressed.png&w=3840&q=75,3602,4.9,"Lenskart Nanganallur eyewear store is located at Chennai. It is one of the best optical stores in Chennai with immense number of Eyeglasses , sunglasses & contact lens options to choose from. The store offers free eye check up to its customers which is performed by certified Optometrist. The free eye test service is available across all stores in India. If you are searching for the best optician near you then Lenskart Nanganallur is the perfect choice for you. The address of this store is 38/13, 1St Main Road, Macmillan Colony, Nanganallur, Chennai, Tamil Nadu, 600061, Nanganallur, Chennai, Tamil Nadu - 600061.",https://www.lenskart.com/stores/lenskart-com-nanganallur-nanganallur-chennai-557915/Home,1289,Chennai,9667253254
2122,192150,127665,64485,53994,profitable,Gomti Nagar Extension,"Ground Floor, House No 1/746, Vardan Khand, Near Kotak Mahendra Bank, Sector 1, Gomti Nagar Extension, Lucknow, Uttar Pradesh, 226010",11:00 AM-09:30 PM,"Eye Test, Repair, Purchase",https://www.lenskart.com/stores/_next/image?url=https%3A%2F%2Fmy-lkstore.lenskart.com%2Fstore_locator_image%2FStore_Static_Image%2FLenskartStoreFrontImageCompressed.png&w=3840&q=75,134,5,"Lenskart Gomti Nagar Extension eyewear store is located at Lucknow. It is one of the best optical stores in Lucknow with immense number of Eyeglasses , sunglasses & contact lens options to choose from. The store offers free eye check up to its customers which is performed by certified Optometrist. The free eye test service is available across all stores in India. If you are searching for the best optician near you then Lenskart Gomti Nagar Extension is the perfect choice for you. The address of this store is Ground Floor, House No 1/746, Vardan Khand, Near Kotak Mahendra Bank, Sector 1, Gomti Nagar Extension, Lucknow, Uttar Pradesh, 226010, Gomti Nagar Extension, Lucknow, Uttar Pradesh - 226010.",https://www.lenskart.com/stores/lenskart-com-gomti-nagar-extension-gomti-nagar-extension-lucknow-267618/Home,1120,Lucknow,9582598625
148,121903,77675,44228,53994,non_profitable,"Phoenix Market City Mall, Velachery","Shop No 142, 1St Floor, Phoenix Market City Mall, Velachery, Next To Raymonds Showroom, Chennai, Tamil Nadu, 600042",11:00 AM-10:00 PM,"Eye Test, Repair, Purchase",https://www.lenskart.com/stores/_next/image?url=https%3A%2F%2Fmy-lkstore.lenskart.com%2Fstore_locator_image%2FLKST148%2F1.jpeg&w=3840&q=75,2905,4.9,"Lenskart Phoenix Market City Mall, Velachery eyewear store is located at Chennai. It is one of the best optical stores in Chennai with immense number of Eyeglasses , sunglasses & contact lens options to choose from. The store offers free eye check up to its customers which is performed by certified Optometrist. The free eye test service is available across all stores in India. If you are searching for the best optician near you then Lenskart Phoenix Market City Mall, Velachery is the perfect choice for you. The address of this store is Shop No 142, 1St Floor, Phoenix Market City Mall, Velachery, Next To Raymonds Showroom, Chennai, Tamil Nadu, 600042, Phoenix Market City Mall, Velachery, Chennai, Tamil Nadu - 600042.",https://www.lenskart.com/stores/optometrist-sunglasses-velachery-road-chennai-60895/Home,891,Chennai,7428891148
243,432265,286737,145528,53994,profitable,"Sector 7, Airoli","Shop No G9, Shiv Shankar Plaza, , Sector 7, Airoli, Next To Domino'S Pizza, Navi Mumbai, Maharashtra, 400708",11:00 AM-10:00 PM,"Eye Test, Repair, Purchase",https://www.lenskart.com/stores/_next/image?url=https%3A%2F%2Fmy-lkstore.lenskart.com%2Fstore_locator_image%2FLKST243%2Ffront%2520image.JPG&w=3840&q=75,740,4.6,"Lenskart Sector 7, Airoli eyewear store is located at Navi Mumbai. It is one of the best optical stores in Navi Mumbai with immense number of Eyeglasses , sunglasses & contact lens options to choose from. The store offers free eye check up to its customers which is performed by certified Optometrist. The free eye test service is available across all stores in India. If you are searching for the best optician near you then Lenskart Sector 7, Airoli is the perfect choice for you. The address of this store is Shop No G9, Shiv Shankar Plaza, , Sector 7, Airoli, Next To Domino'S Pizza, Navi Mumbai, Maharashtra, 400708, Sector 7, Airoli, Navi Mumbai, Maharashtra - 400708.",https://www.lenskart.com/stores/optometrist-sunglasses-airoli-sector-7-thane-60979/Home,871,Mumbai,7428891243
897,151199,97433,53766,53994,non_profitable,Nagawara,"34, Sy No 39/1, Vidyasagar Bus Stop, Thanisandra Road Main, Dr Shivaram Karanth Nagar Post, Nagwara, Opposite Dhurudesh Honda Showroom, Bengaluru, Karnataka, 560077",11:00 AM-09:30 PM,"Eye Test, Repair, Purchase",https://www.lenskart.com/stores/_next/image?url=https%3A%2F%2Fmy-lkstore.lenskart.com%2Fstore_locator_image%2FLKST897%2FIMG-20211215-WA0039.jpg&w=3840&q=75,992,4.9,"Lenskart Nagawara eyewear store is located at Bengaluru. It is one of the best optical stores in Bengaluru with immense number of Eyeglasses , sunglasses & contact lens options to choose from. The store offers free eye check up to its customers which is performed by certified Optometrist. The free eye test service is available across all stores in India. If you are searching for the best optician near you then Lenskart Nagawara is the perfect choice for you. The address of this store is 34, Sy No 39/1, Vidyasagar Bus Stop, Thanisandra Road Main, Dr Shivaram Karanth Nagar Post, Nagwara, Opposite Dhurudesh Honda Showroom, Bengaluru, Karnataka, 560077, Nagawara, Bengaluru, Karnataka - 560077.",https://www.lenskart.com/stores/lenskart-com-nagawara-nagawara-bengaluru-790603/Home,787,Bangalore,8447745515
1025,244463,156293,88170,53994,profitable,ECIL Radhika,"Victory Plaza, Plot No 11 Extension, Ecil X Main Road, Khushaiguda, Khushaiguda, Opposite Sbi Bank, Hyderabad, Telangana, 500062",11:00 AM-09:30 PM,"Eye Test, Repair, Purchase",https://www.lenskart.com/stores/_next/image?url=https%3A%2F%2Fmy-lkstore.lenskart.com%2Fstore_locator_image%2FStore_Static_Image%2FLenskartStoreFrontImageCompressed.png&w=3840&q=75,2165,4.9,"Lenskart ECIL Radhika eyewear store is located at Hyderabad. It is one of the best optical stores in Hyderabad with immense number of Eyeglasses , sunglasses & contact lens options to choose from. The store offers free eye check up to its customers which is performed by certified Optometrist. The free eye test service is available across all stores in India. If you are searching for the best optician near you then Lenskart ECIL Radhika is the perfect choice for you. The address of this store is Victory Plaza, Plot No 11 Extension, Ecil X Main Road, Khushaiguda, Khushaiguda, Opposite Sbi Bank, Hyderabad, Telangana, 500062, ECIL Radhika, Hyderabad, Telangana - 500062.",https://www.lenskart.com/stores/lenskart-com-ecil-radhika-khushaiguda-hyderabad-838932/Home,978,Hyderabad,8929261828
1721,38599,25619,12980,53994,non_profitable,Guru Nanak Colony,"59A-20-2, Survey No 134/6, Extent 443.33, South Plot No 29, East Plot No 23 West, Plot No 21, Guru Nanak Colony, Vijayawada, Andhra Pradesh, 520007",10:30 AM-09:30 PM,"Eye Test, Repair, Purchase",https://www.lenskart.com/stores/_next/image?url=https%3A%2F%2Fmy-lkstore.lenskart.com%2Fstore_locator_image%2FStore_Static_Image%2FLenskartStoreFrontImageCompressed.png&w=3840&q=75,614,4.9,"Lenskart Guru Nanak Colony eyewear store is located at Vijayawada. It is one of the best optical stores in Vijayawada with immense number of Eyeglasses , sunglasses & contact lens options to choose from. The store offers free eye check up to its customers which is performed by certified Optometrist. The free eye test service is available across all stores in India. If you are searching for the best optician near you then Lenskart Guru Nanak Colony is the perfect choice for you. The address of this store is 59A-20-2, Survey No 134/6, Extent 443.33, South Plot No 29, East Plot No 23 West, Plot No 21, Guru Nanak Colony, Vijayawada, Andhra Pradesh, 520007, Guru Nanak Colony, Vijayawada, Andhra Pradesh - 520007.",https://www.lenskart.com/stores/lenskart-com-guru-nanak-colony-guru-nanak-colony-vijayawada-645232/Home,1352,Vijayawada,9540358921
1507,210769,134858,75911,53994,profitable,Balaramapuram,"Block No13, Ward No 19, Inam Pandarapattam Desom Thalayal Fikra, Taluk Neyyatinkara, Balarampuram, Opposite Qrs, Thiruvananthapuram, Kerala, 695501",10:30 AM-09:00 PM,"Eye Test, Repair, Purchase",https://www.lenskart.com/stores/_next/image?url=https%3A%2F%2Fmy-lkstore.lenskart.com%2Fstore_locator_image%2FStore_Static_Image%2FLenskartStoreFrontImageCompressed.png&w=3840&q=75,637,4.9,"Lenskart Balaramapuram eyewear store is located at Thiruvananthapuram. It is one of the best optical stores in Thiruvananthapuram with immense number of Eyeglasses , sunglasses & contact lens options to choose from. The store offers free eye check up to its customers which is performed by certified Optometrist. The free eye test service is available across all stores in India. If you are searching for the best optician near you then Lenskart Balaramapuram is the perfect choice for you. The address of this store is Block No13, Ward No 19, Inam Pandarapattam Desom Thalayal Fikra, Taluk Neyyatinkara, Balarampuram, Opposite Qrs, Thiruvananthapuram, Kerala, 695501, Balaramapuram, Thiruvananthapuram, Kerala - 695501.",https://www.lenskart.com/stores/lenskart-com-neyyattinkara-balarampuram-thiruvananthapuram-855035/Home,874,Thiruvananthapuram,8447846876
