product_id,order_id,transaction_id,customer_id,store_id,quantity,order_date,payment_method, title, url, brand, price, frame_size, frame_width, model_no, productKeys, warranty,cost_of_product
148215,O0006,TRANS0006,CUST8944,465,16,2023-08-06,UPI,Black Silver Full Rim Rectangle,https://www.lenskart.com/john-jacobs-john-jacobs-jj-s13991-full-rim-c3-sunglasses.html,John Jacobs,6000,Extra Wide ?,144 mm,JJ S13991,",Eyewear,Sunglasses,Brands,John Jacobs",with 1 year warranty,4067
150413,O0011,TRANS0011,CUST35546,380,8,2022-11-18,Credit Card,Pink Rimless Rectangle,https://www.lenskart.com/vincent-chase-vc-e14324-c3-eyeglasses.html,Vincent Chase,1700,Medium ?,136 mm,VC E14324,",Eyewear,Eyeglasses,Brands,Vincent Chase",with 1 Year Warranty & 14 Day Return,1115
215324,O0016,TRANS0016,CUST20903,1373,7,2023-08-09,UPI,Transparent Full Rim Rectangle,https://www.lenskart.com/vincent-chase-vc-e16612-c1-eyeglasses.html,Vincent Chase,1700,Wide ?,139 mm,VC E16612,",Eyewear,Eyeglasses,Brands,Vincent Chase",with 1 Year Warranty & 14 Day Return,1041
151492,O0017,TRANS0017,CUST30734,2282,20,2023-01-23,Credit Card,Blue Block Screen Glasses: Gold Brown Full Rim Aviator Lenskart Blu LB E14521-C2,https://www.lenskart.com/lenskart-blu-lb-e14521-c2-eyeglasses.html,Lenskart Blu,2000,Narrow ?,133 mm,LB E14521,",Eyewear,Eyeglasses,Brands,Lenskart Blu",null,1283
150862,O0019,TRANS0019,CUST2575,2249,5,2022-06-22,Cash,Black Full Rim Rectangle,https://www.lenskart.com/john-jacobs-jj-e14411-c1-eyeglasses.html,John Jacobs,3500,Medium ?,138 mm,JJ E14411,",Eyewear,Eyeglasses,Brands,John Jacobs",with 1 Year Warranty & 14 Day Return,2413
134738,O0020,TRANS0020,CUST48579,321,12,2023-11-30,Debit Card,Black Full Rim Square,https://www.lenskart.com/vincent-chase-vc-e12392-c1-eyeglasses.html,Vincent Chase,1700,Extra Wide ?,142 mm,VC E12392,",Eyewear,Eyeglasses,Brands,Vincent Chase",with 1 Year Warranty & 14 Day Return,1066
113708,O0023,TRANS0023,CUST39663,1482,6,2023-09-29,Credit Card,Bausch & Lomb iConnect Monthly Disposable,https://www.lenskart.com/iconnect-6-lens-box-bausch-lomb.html,null,499,null,null,Bausch & Lomb iConnect Monthly Disposable,",Eyewear,Contact Lenses,Top Lens Brands,Bausch &amp; Lomb Contact Lenses",null,304
215410,O0026,TRANS0026,CUST22452,815,5,2023-03-16,Cash,Black Full Rim Rectangle,https://www.lenskart.com/lenskart-air-la-e16643-c1-eyeglasses.html,Lenskart Air,1700,Medium ?,137 mm,LA E16643,",Eyewear,Eyeglasses,Brands,Lenskart Air Online",with 1 Year Warranty & 14 Day Return,1168
211935,O0035,TRANS0035,CUST15514,1027,6,2024-01-30,Debit Card,Copper Brown Full Rim Rectangle,https://www.lenskart.com/vincent-chase-vc-e16230-c2-eyeglasses.html,Vincent Chase,1700,Medium ?,134 mm,VC E16230,",Eyewear,Eyeglasses,Brands,Vincent Chase",with 1 Year Warranty & 14 Day Return,1028
148355,O0043,TRANS0043,CUST31567,2305,15,2024-01-15,Debit Card,Black Full Rim Square,https://www.lenskart.com/lenskart-air-la-e-10592-l-c1-eyeglasses.html,Lenskart Air,1700,Wide ?,140 mm,LA E10592-L,",Eyewear,Eyeglasses,Brands,Lenskart Air",with 1 Year Warranty & 14 Day Return,1130
140632,O0046,TRANS0046,CUST44038,1140,6,2022-08-22,Cash,Grey Transparent Full Rim Wayfarer,https://www.lenskart.com/john-jacobs-jj-s13313-c1-sunglasses.html,John Jacobs,5000,Wide ?,139 mm,JJ S13313,",Eyewear,Sunglasses,Brands,John Jacobs",with 1 year warranty,3263
216454,O0049,TRANS0049,CUST24719,259,4,2023-11-30,UPI,Gunmetal Full Rim Round,https://www.lenskart.com/vincent-chase-vc-e16786-c2-eyeglasses.html,Vincent Chase,1700,Medium ?,136 mm,VC E16786,",Eyewear,Eyeglasses,Brands,Vincent Chase",with 1 Year Warranty & 14 Day Return,1082
204184,O0051,TRANS0051,CUST43826,1635,6,2023-11-28,UPI,Grey Transparent Full Rim Rectangle,https://www.lenskart.com/lenskart-air-la-e15019-c1-eyeglasses.html,Lenskart Air,1700,Medium ?,137 mm,LA E15019,",Eyewear,Eyeglasses,Brands,Lenskart Air",with 1 Year Warranty & 14 Day Return,1069
131427,O0054,TRANS0054,CUST15912,875,10,2023-11-01,Cash,Black Full Rim Square,https://www.lenskart.com/john-jacobs-jj-e11680-c3-eyeglasses.html,John Jacobs,5000,Narrow ?,132 mm,JJ E11680,",Eyewear,Eyeglasses,Brands,John Jacobs",with 1 Year Warranty & 14 Day Return,3117
151528,O0057,TRANS0057,CUST48651,1907,20,2023-01-13,UPI,Grey Transparent Full Rim Rectangle,https://www.lenskart.com/lenskart-air-la-e14529-c2-eyeglasses.html,Lenskart Air,1700,Medium ?,136 mm,LA E14529,",Eyewear,Eyeglasses,Brands,Lenskart Air",with 1 Year Warranty & 14 Day Return,1086
